Archivo,Puntuación
f6552d79920b45bbb57b7229.json,0.8333333333333334
bdf7d81f7e624c0fae350af3.json,1.0
b7ed11e94a6746359c9d143a.json,1.0
bec1627869b94e2f8dd27ff8.json,0.5485714285714285
fe2075ee497e4a059cefa555.json,1.0
becd58928a044c639a5daeb2.json,1.0
b748fb004c074238a30ca547.json,1.0
f8e93ada4dbf4e6098fe5d90.json,0.0
fad6e92743f741098902a191.json,1.0
fda08119b1b64510acd21d61.json,0.75
bca44559a2a0487cae24cc00.json,1.0
bcc089ccb3b148238023fa50.json,1.0
fa29ed21c9044f66a5da45a1.json,1.0
b7e5afa0001b48f9b6556e57.json,1.0
bc9117df33ee48ab82df0396.json,0.8
fb5edd4f555b4890ac01ac3f.json,1.0
ba388b327d254ed384f97624.json,0.9428571428571428
ff0456f8765d4e9385109aa0.json,0.0
f8ba22268e614b9998ec6b4c.json,1.0
fa69104eca4d46f4895e3b37.json,0.8
bec0f6c4f3514dc1a2dbebf5.json,0.7999999999999999
bda36bd26a0f47c1a935553b.json,0.5333333333333333
fde46c7ef5cf4eff9c685feb.json,1.0
baf24153467e4ef598e0668c.json,0.5555555555555556
feb69fc811994491a6ecfe58.json,1.0
b8344a405a60475c953236e1.json,0.38095238095238093
be3e4b99d8b142c980016345.json,0.1388888888888889
fe2111eeabac4236a055773f.json,0.75
bcf49f1dd25e48c58d9fab5b.json,0.8333333333333334
b717f1bb1adc4855b756baa8.json,0.8
fea1763962464e14be44ac49.json,1.0
b974d3e15133400b9c3220cc.json,1.0
fce14d87e007482d849f381d.json,1.0
be004afd90b94427b60643d0.json,0.6
bd342cfcb1ff463cbc7b91d3.json,0.7
fdf8e3f69fe84970982590ff.json,0.4444444444444444
fc7554630cc24a2c8f9db32b.json,1.0
fce8c1f2aec8433e8ff9d58a.json,0.8333333333333334
ff1821c5e677428393c387a5.json,1.0
be4e6c7f368f47e586bcf06f.json,0.5714285714285714
f8b248b3b37448f8b9eef12d.json,0.9928571428571429
f82aaccd403d4224b0698f2b.json,0.9727272727272727
fc9d1c026ecd4b08a8c847a2.json,1.0
bab7e1cdeeef4ea8af196331.json,0.25
b7b697c04f98473aa194a064.json,0.75
b6a51fed333341f1b51586fb.json,0.75
fef5ba05f55743f0a8902c2f.json,1.0
fe35c92dc4e840f288ea5fb2.json,0.4523809523333333
be2d0e7b394a4153b095e3b5.json,0.44000000000000006
badf18cc92494d959ea3ec97.json,1.0
b89b759330574655aeeaca39.json,0.64285714285
fdcc4f7003894c71929b4cff.json,1.0
b81fc04c4155481f84fb3d95.json,1.0
fae24e15f68740449eb0a190.json,1.0
bc1939c73dc140e1956c06e5.json,0.985
b90a7981fcbb4a049f3ef7a0.json,1.0
b7173fcb9d1344a083d376a1.json,1.0
f6fd10f20e5b4da48080a434.json,0.7999999999999999
baa3bde8677b423a96fa8190.json,1.0
ff16e84f1e4047e0b25500e6.json,Error
fb620d289d16438182fa6079.json,0.8571428571428571
